"id","name","value","category"
1,"Person 1",85.4348360807635,"C"
2,"Person 2",16.4965957656968,"C"
3,"Person 3",71.3620027028956,"C"
4,"Person 4",89.9287734271493,"B"
5,"Person 5",34.1560276697855,"C"
6,"Person 6",91.9764000026044,"A"
7,"Person 7",13.4703911333345,"A"
8,"Person 8",92.1113464434166,"B"
9,"Person 9",83.4796449071728,"B"
10,"Person 10",56.945746704936,"B"
11,"Person 11",33.6387607401703,"C"
12,"Person 12",12.5500050510745,"A"
13,"Person 13",18.6834432173055,"A"
14,"Person 14",81.0136602777056,"B"
15,"Person 15",68.3641526701394,"C"
16,"Person 16",28.3812169106677,"C"
17,"Person 17",39.8706261012703,"A"
18,"Person 18",19.0065604716074,"B"
19,"Person 19",91.1662505336571,"C"
20,"Person 20",38.4593768324703,"C"
21,"Person 21",70.885943598114,"A"
22,"Person 22",34.2307824359741,"A"
23,"Person 23",10.6431664219126,"A"
24,"Person 24",92.5645751906559,"A"
25,"Person 25",84.3286164787132,"A"
26,"Person 26",91.9149135963526,"C"
27,"Person 27",64.1243778730277,"C"
28,"Person 28",4.5411387400236,"B"
29,"Person 29",48.6749189593829,"B"
30,"Person 30",68.9154492821544,"B"
31,"Person 31",3.08301352476701,"C"
32,"Person 32",48.7416087023448,"A"
33,"Person 33",55.2016076203436,"B"
34,"Person 34",45.9399623973295,"A"
35,"Person 35",66.2113228226081,"A"
36,"Person 36",40.0509940879419,"A"
37,"Person 37",90.8438142293599,"B"
38,"Person 38",26.1127366644796,"B"
39,"Person 39",95.761861723382,"A"
40,"Person 40",85.1952404954936,"A"
41,"Person 41",57.2497750234324,"A"
42,"Person 42",75.8611132823862,"C"
43,"Person 43",33.6991807734594,"A"
44,"Person 44",77.6193344693165,"C"
45,"Person 45",60.1103692816105,"B"
46,"Person 46",37.8405173807405,"B"
47,"Person 47",99.8714867411181,"A"
48,"Person 48",70.7688696861733,"C"
49,"Person 49",24.1524217927363,"C"
50,"Person 50",59.4376325823832,"A"
51,"Person 51",59.6935061735567,"C"
52,"Person 52",95.4090098750312,"C"
53,"Person 53",16.0667537625413,"C"
54,"Person 54",8.03807695116848,"A"
