"date","sales","region","sales_category"
"2024-01-01",2958.58,"East","Low"
"2024-01-02",4980.64,"South","High"
"2024-01-03",2491.89,"North","Low"
"2024-01-04",4048.41,"East","High"
"2024-01-05",2670.17,"East","Low"
"2024-01-06",4748.32,"East","High"
"2024-01-07",1201.84,"West","Low"
"2024-01-08",1329.22,"West","Low"
"2024-01-09",2241.31,"South","Low"
"2024-01-11",3065.06,"South","High"
"2024-01-12",2482.55,"East","Low"
"2024-01-13",3553.43,"West","High"
"2024-01-14",3852.83,"West","High"
"2024-01-15",4926.92,"West","High"
"2024-01-16",4957.62,"East","High"
"2024-01-17",4189.97,"East","High"
"2024-01-18",1637.9,"West","Low"
"2024-01-19",3255.19,"East","High"
"2024-01-20",2908.7,"North","Low"
"2024-01-21",2534.78,"North","Low"
"2024-01-22",2581.1,"North","Low"
"2024-01-23",4021.95,"East","High"
"2024-01-24",4706.59,"West","High"
"2024-01-26",1520.46,"South","Low"
"2024-01-27",4674.66,"West","High"
"2024-01-28",2201.37,"West","Low"
"2024-01-29",2673.74,"North","Low"
"2024-01-30",3932.27,"East","High"
"2024-01-31",2242.44,"North","Low"
"2024-02-01",4250.29,"East","High"
"2024-02-02",2821.68,"West","Low"
"2024-02-03",2440.39,"North","Low"
"2024-02-04",1867.22,"South","Low"
"2024-02-05",1607.15,"North","Low"
"2024-02-06",3725.23,"West","High"
"2024-02-07",4800.24,"East","High"
"2024-02-08",4994.17,"East","High"
"2024-02-09",1280.17,"East","Low"
"2024-02-10",3393.17,"South","High"
"2024-02-11",1628.59,"North","Low"
"2024-02-12",4081.99,"West","High"
"2024-02-13",1142.34,"South","Low"
"2024-02-14",1805.01,"West","Low"
"2024-02-15",3243.4,"North","High"
"2024-02-16",3577.24,"West","High"
"2024-02-17",2017.61,"West","Low"
"2024-02-18",4682.68,"North","High"
"2024-02-20",2910.03,"West","Low"
"2024-02-21",1615.66,"South","Low"
"2024-02-22",4983.45,"South","High"
"2024-02-23",2831.78,"East","Low"
"2024-02-24",4269.65,"North","High"
"2024-02-25",2320.12,"North","Low"
"2024-02-26",3344.21,"South","High"
"2024-02-27",1787.99,"East","Low"
"2024-02-28",4599.87,"East","High"
"2024-02-29",2257.85,"South","Low"
"2024-03-01",1179.79,"West","Low"
"2024-03-02",4651.25,"East","High"
"2024-03-03",1538.82,"South","Low"
"2024-03-04",2357.16,"South","Low"
"2024-03-05",1616.46,"East","Low"
"2024-03-06",2508.62,"East","Low"
"2024-03-07",2640.17,"North","Low"
"2024-03-08",2723.08,"North","Low"
"2024-03-09",4630.12,"East","High"
"2024-03-10",4805.8,"South","High"
"2024-03-11",4700.13,"West","High"
"2024-03-12",2345.56,"West","Low"
"2024-03-13",2728.68,"South","Low"
"2024-03-14",1997.81,"West","Low"
"2024-03-15",3822.52,"South","High"
"2024-03-16",3251.7,"North","High"
"2024-03-17",4755.51,"East","High"
"2024-03-18",3466.07,"South","High"
"2024-03-19",1172.21,"North","Low"
"2024-03-20",1833.16,"South","Low"
"2024-03-21",2343.84,"South","Low"
"2024-03-22",3777.68,"East","High"
"2024-03-23",3395.69,"North","High"
"2024-03-24",2789.33,"West","Low"
"2024-03-25",4302.41,"East","High"
"2024-03-26",3338.43,"East","High"
"2024-03-27",4768.29,"East","High"
"2024-03-28",2312.55,"North","Low"
"2024-03-29",1372.86,"North","Low"
"2024-03-30",1977.62,"West","Low"
"2024-03-31",2114.1,"East","Low"
"2024-04-01",3926.39,"North","High"
"2024-04-02",3540.88,"West","High"
"2024-04-03",2702.2,"North","Low"
"2024-04-04",3602.84,"West","High"
"2024-04-05",1516.16,"North","Low"
"2024-04-06",1171.78,"West","Low"
"2024-04-07",1919.96,"North","Low"
"2024-04-08",3048.53,"West","High"
"2024-04-09",4860.64,"South","High"
