"date","sales","region"
2024-01-01,2958.58,"East"
2024-01-02,4980.64,"South"
2024-01-03,2491.89,"North"
2024-01-04,4048.41,"East"
2024-01-05,2670.17,"East"
2024-01-06,4748.32,"East"
2024-01-07,1201.84,"West"
2024-01-08,1329.22,"West"
2024-01-09,2241.31,"South"
2024-01-10,NA,"West"
2024-01-11,3065.06,"South"
2024-01-12,2482.55,"East"
2024-01-13,3553.43,"West"
2024-01-14,3852.83,"West"
2024-01-15,4926.92,"West"
2024-01-16,4957.62,"East"
2024-01-17,4189.97,"East"
2024-01-18,1637.9,"West"
2024-01-19,3255.19,"East"
2024-01-20,2908.7,"North"
2024-01-21,2534.78,"North"
2024-01-22,2581.1,"North"
2024-01-23,4021.95,"East"
2024-01-24,4706.59,"West"
2024-01-25,NA,"East"
2024-01-26,1520.46,"South"
2024-01-27,4674.66,"West"
2024-01-28,2201.37,"West"
2024-01-29,2673.74,"North"
2024-01-30,3932.27,"East"
2024-01-31,2242.44,"North"
2024-02-01,4250.29,"East"
2024-02-02,2821.68,"West"
2024-02-03,2440.39,"North"
2024-02-04,1867.22,"South"
2024-02-05,1607.15,"North"
2024-02-06,3725.23,"West"
2024-02-07,4800.24,"East"
2024-02-08,4994.17,"East"
2024-02-09,1280.17,"East"
2024-02-10,3393.17,"South"
2024-02-11,1628.59,"North"
2024-02-12,4081.99,"West"
2024-02-13,1142.34,"South"
2024-02-14,1805.01,"West"
2024-02-15,3243.4,"North"
2024-02-16,3577.24,"West"
2024-02-17,2017.61,"West"
2024-02-18,4682.68,"North"
2024-02-19,NA,"North"
2024-02-20,2910.03,"West"
2024-02-21,1615.66,"South"
2024-02-22,4983.45,"South"
2024-02-23,2831.78,"East"
2024-02-24,4269.65,"North"
2024-02-25,2320.12,"North"
2024-02-26,3344.21,"South"
2024-02-27,1787.99,"East"
2024-02-28,4599.87,"East"
2024-02-29,2257.85,"South"
2024-03-01,1179.79,"West"
2024-03-02,4651.25,"East"
2024-03-03,1538.82,"South"
2024-03-04,2357.16,"South"
2024-03-05,1616.46,"East"
2024-03-06,2508.62,"East"
2024-03-07,2640.17,"North"
2024-03-08,2723.08,"North"
2024-03-09,4630.12,"East"
2024-03-10,4805.8,"South"
2024-03-11,4700.13,"West"
2024-03-12,2345.56,"West"
2024-03-13,2728.68,"South"
2024-03-14,1997.81,"West"
2024-03-15,3822.52,"South"
2024-03-16,3251.7,"North"
2024-03-17,4755.51,"East"
2024-03-18,3466.07,"South"
2024-03-19,1172.21,"North"
2024-03-20,1833.16,"South"
2024-03-21,2343.84,"South"
2024-03-22,3777.68,"East"
2024-03-23,3395.69,"North"
2024-03-24,2789.33,"West"
2024-03-25,4302.41,"East"
2024-03-26,3338.43,"East"
2024-03-27,4768.29,"East"
2024-03-28,2312.55,"North"
2024-03-29,1372.86,"North"
2024-03-30,1977.62,"West"
2024-03-31,2114.1,"East"
2024-04-01,3926.39,"North"
2024-04-02,3540.88,"West"
2024-04-03,2702.2,"North"
2024-04-04,3602.84,"West"
2024-04-05,1516.16,"North"
2024-04-06,1171.78,"West"
2024-04-07,1919.96,"North"
2024-04-08,3048.53,"West"
2024-04-09,4860.64,"South"
2024-01-01,2958.58,"East"
2024-01-02,4980.64,"South"
2024-01-03,2491.89,"North"
2024-01-04,4048.41,"East"
2024-01-05,2670.17,"East"
